Mode,Year,Scenario,Scenario branch,Technology,VC
Gas Dem,2030,EUCO,ST,CCGT,35.2
Gas Dem,2030,EUCO,ST,OCGT,54.7
Gas Dem,2030,EUCO,DG,Lignite,40.2
Gas Dem,2030,EUCO,DG,Hard Coal,53.7
Gas Dem,2030,EUCO,DG,CCGT,33.4
Gas Dem,2030,EUCO,DG,OCGT,51.8
Gas Dem,2030,ST,EUCO,Lignite,76.8
Gas Dem,2030,ST,EUCO,Hard Coal,84.5
Gas Dem,2030,ST,EUCO,CCGT,53.7
Gas Dem,2030,ST,EUCO,OCGT,83.4
Gas Dem,2030,ST,ST,Lignite,76.8
Gas Dem,2030,ST,ST,Hard Coal,84.5
Gas Dem,2030,ST,ST,CCGT,56.9
Gas Dem,2030,ST,ST,OCGT,88.4
Gas Dem,2030,ST,DG,Lignite,76.8
Gas Dem,2030,ST,DG,Hard Coal,84.5
Gas Dem,2030,ST,DG,CCGT,55.1
Gas Dem,2030,ST,DG,OCGT,85.5
Gas Dem,2030,DG,EUCO,Lignite,49.1
Gas Dem,2030,DG,EUCO,Hard Coal,58.6
Gas Dem,2030,DG,EUCO,CCGT,40.1
Gas Dem,2030,DG,EUCO,OCGT,62.2
Gas Dem,2030,DG,ST,Lignite,49.1
Gas Dem,2030,DG,ST,Hard Coal,58.6
Gas Dem,2030,DG,ST,CCGT,42.3
Gas Dem,2030,DG,ST,OCGT,65.6
Gas Dem,2030,DG,DG,Lignite,49.1
Gas Dem,2030,DG,DG,Hard Coal,58.6
Gas Dem,2030,DG,DG,CCGT,40.8
Gas Dem,2030,DG,DG,OCGT,63.4
Gas Dem,2030,EVP,EUCO,Lignite,55.4
Gas Dem,2030,EVP,EUCO,Hard Coal,65.6
Gas Dem,2030,EVP,EUCO,CCGT,42.0
Gas Dem,2030,EVP,EUCO,OCGT,65.3
Gas Dem,2030,EVP,ST,Lignite,55.4
Gas Dem,2030,EVP,ST,Hard Coal,65.6
Gas Dem,2030,EVP,ST,CCGT,45.3
Gas Dem,2030,EVP,ST,OCGT,70.3
Gas Dem,2030,EVP,DG,Lignite,55.4
Gas Dem,2030,EVP,DG,Hard Coal,65.6
Gas Dem,2030,EVP,DG,CCGT,43.4
Gas Dem,2030,EVP,DG,OCGT,67.4
Fuel Price,2020,EUCO,EUCO,Lignite,23.8
Fuel Price,2020,EUCO,EUCO,Hard Coal,38.6
Fuel Price,2020,EUCO,EUCO,CCGT,30.5
Fuel Price,2020,EUCO,EUCO,OCGT,47.0
Fuel Price,2020,EUCO,ST,Lignite,23.8
Fuel Price,2020,EUCO,ST,Hard Coal,38.6
Fuel Price,2020,EUCO,ST,CCGT,29.5
Fuel Price,2020,EUCO,ST,OCGT,45.6
Fuel Price,2020,EUCO,DG,Lignite,23.8
Fuel Price,2020,EUCO,DG,Hard Coal,38.6
Fuel Price,2020,EUCO,DG,CCGT,29.5
Fuel Price,2020,EUCO,DG,OCGT,45.6
Fuel Price,2020,ST,EUCO,Lignite,23.8
Fuel Price,2020,ST,EUCO,Hard Coal,38.6
Fuel Price,2020,ST,EUCO,CCGT,35.3
Fuel Price,2020,ST,EUCO,OCGT,54.5
Fuel Price,2020,ST,ST,Lignite,23.8
Fuel Price,2020,ST,ST,Hard Coal,38.6
Fuel Price,2020,ST,ST,CCGT,34.2
Fuel Price,2020,ST,ST,OCGT,52.8
Fuel Price,2020,ST,DG,Lignite,23.8
Fuel Price,2020,ST,DG,Hard Coal,38.6
Fuel Price,2020,ST,DG,CCGT,34.2
Fuel Price,2020,ST,DG,OCGT,52.8
Fuel Price,2020,DG,EUCO,Lignite,23.8
Fuel Price,2020,DG,EUCO,Hard Coal,38.6
Fuel Price,2020,DG,EUCO,CCGT,31.9
Fuel Price,2020,DG,EUCO,OCGT,49.3
Fuel Price,2020,DG,ST,Lignite,23.8
Fuel Price,2020,DG,ST,Hard Coal,38.6
Fuel Price,2020,DG,ST,CCGT,31.3
Fuel Price,2020,DG,ST,OCGT,48.3
Fuel Price,2020,DG,DG,Lignite,23.8
Fuel Price,2020,DG,DG,Hard Coal,38.6
Fuel Price,2020,DG,DG,CCGT,31.3
Fuel Price,2020,DG,DG,OCGT,48.3
Fuel Price,2020,EVP,EUCO,Lignite,23.8
Fuel Price,2020,EVP,EUCO,Hard Coal,38.6
Fuel Price,2020,EVP,EUCO,CCGT,32.4
Fuel Price,2020,EVP,EUCO,OCGT,50.0
Fuel Price,2020,EVP,ST,Lignite,23.8
Fuel Price,2020,EVP,ST,Hard Coal,38.6
Fuel Price,2020,EVP,ST,CCGT,31.5
Fuel Price,2020,EVP,ST,OCGT,48.6
Fuel Price,2020,EVP,DG,Lignite,23.8
Fuel Price,2020,EVP,DG,Hard Coal,38.6
Fuel Price,2020,EVP,DG,CCGT,31.5
Fuel Price,2020,EVP,DG,OCGT,48.6
Fuel Price,2025,EUCO,EUCO,Lignite,32.1
Fuel Price,2025,EUCO,EUCO,Hard Coal,46.2
Fuel Price,2025,EUCO,EUCO,CCGT,31.2
Fuel Price,2025,EUCO,EUCO,OCGT,48.4
Fuel Price,2025,EUCO,ST,Lignite,27.2
Fuel Price,2025,EUCO,ST,Hard Coal,39.9
Fuel Price,2025,EUCO,ST,CCGT,30.3
Fuel Price,2025,EUCO,ST,OCGT,46.9
Fuel Price,2025,EUCO,DG,Lignite,27.2
Fuel Price,2025,EUCO,DG,Hard Coal,39.9
Fuel Price,2025,EUCO,DG,CCGT,30.3
Fuel Price,2025,EUCO,DG,OCGT,46.9
Fuel Price,2025,ST,EUCO,Lignite,55.4
Fuel Price,2025,ST,EUCO,Hard Coal,67.8
Fuel Price,2025,ST,EUCO,CCGT,46.9
Fuel Price,2025,ST,EUCO,OCGT,72.7
Fuel Price,2025,ST,ST,Lignite,50.5
Fuel Price,2025,ST,ST,Hard Coal,61.6
Fuel Price,2025,ST,ST,CCGT,45.6
Fuel Price,2025,ST,ST,OCGT,70.5
Fuel Price,2025,ST,DG,Lignite,50.5
Fuel Price,2025,ST,DG,Hard Coal,61.6
Fuel Price,2025,ST,DG,CCGT,45.6
Fuel Price,2025,ST,DG,OCGT,70.5
Fuel Price,2025,DG,EUCO,Lignite,41.4
Fuel Price,2025,DG,EUCO,Hard Coal,54.8
Fuel Price,2025,DG,EUCO,CCGT,37.2
Fuel Price,2025,DG,EUCO,OCGT,57.7
Fuel Price,2025,DG,ST,Lignite,36.6
Fuel Price,2025,DG,ST,Hard Coal,48.6
Fuel Price,2025,DG,ST,CCGT,36.1
Fuel Price,2025,DG,ST,OCGT,55.9
Fuel Price,2025,DG,DG,Lignite,36.6
Fuel Price,2025,DG,DG,Hard Coal,48.6
Fuel Price,2025,DG,DG,CCGT,36.1
Fuel Price,2025,DG,DG,OCGT,55.9
Fuel Price,2025,EVP,EUCO,Lignite,43.0
Fuel Price,2025,EVP,EUCO,Hard Coal,56.3
Fuel Price,2025,EVP,EUCO,CCGT,38.4
Fuel Price,2025,EVP,EUCO,OCGT,59.4
Fuel Price,2025,EVP,ST,Lignite,38.1
Fuel Price,2025,EVP,ST,Hard Coal,50.1
Fuel Price,2025,EVP,ST,CCGT,37.3
Fuel Price,2025,EVP,ST,OCGT,57.7
Fuel Price,2025,EVP,DG,Lignite,38.1
Fuel Price,2025,EVP,DG,Hard Coal,50.1
Fuel Price,2025,EVP,DG,CCGT,37.3
Fuel Price,2025,EVP,DG,OCGT,57.7
Fuel Price,2030,EUCO,EUCO,Lignite,40.2
Fuel Price,2030,EUCO,EUCO,Hard Coal,53.7
Fuel Price,2030,EUCO,EUCO,CCGT,32.7
Fuel Price,2030,EUCO,EUCO,OCGT,50.7
Fuel Price,2030,EUCO,ST,Lignite,30.6
Fuel Price,2030,EUCO,ST,Hard Coal,41.3
Fuel Price,2030,EUCO,ST,CCGT,31.7
Fuel Price,2030,EUCO,ST,OCGT,49.2
Fuel Price,2030,EUCO,DG,Lignite,30.6
Fuel Price,2030,EUCO,DG,Hard Coal,41.3
Fuel Price,2030,EUCO,DG,CCGT,31.7
Fuel Price,2030,EUCO,DG,OCGT,49.2
Fuel Price,2030,ST,EUCO,Lignite,86.4
Fuel Price,2030,ST,EUCO,Hard Coal,96.9
Fuel Price,2030,ST,EUCO,CCGT,58.2
Fuel Price,2030,ST,EUCO,OCGT,90.3
Fuel Price,2030,ST,ST,Lignite,76.8
Fuel Price,2030,ST,ST,Hard Coal,84.5
Fuel Price,2030,ST,ST,CCGT,56.8
Fuel Price,2030,ST,ST,OCGT,88.2
Fuel Price,2030,ST,DG,Lignite,76.8
Fuel Price,2030,ST,DG,Hard Coal,84.5
Fuel Price,2030,ST,DG,CCGT,56.8
Fuel Price,2030,ST,DG,OCGT,88.2
Fuel Price,2030,DG,EUCO,Lignite,58.8
Fuel Price,2030,DG,EUCO,Hard Coal,71.1
Fuel Price,2030,DG,EUCO,CCGT,42.6
Fuel Price,2030,DG,EUCO,OCGT,66.2
Fuel Price,2030,DG,ST,Lignite,49.1
Fuel Price,2030,DG,ST,Hard Coal,58.6
Fuel Price,2030,DG,ST,CCGT,41.3
Fuel Price,2030,DG,ST,OCGT,64.1
Fuel Price,2030,DG,DG,Lignite,49.1
Fuel Price,2030,DG,DG,Hard Coal,58.6
Fuel Price,2030,DG,DG,CCGT,41.3
Fuel Price,2030,DG,DG,OCGT,64.2
Fuel Price,2030,EVP,EUCO,Lignite,61.8
Fuel Price,2030,EVP,EUCO,Hard Coal,73.9
Fuel Price,2030,EVP,EUCO,CCGT,44.4
Fuel Price,2030,EVP,EUCO,OCGT,68.9
Fuel Price,2030,EVP,ST,Lignite,52.2
Fuel Price,2030,EVP,ST,Hard Coal,61.5
Fuel Price,2030,EVP,ST,CCGT,43.3
Fuel Price,2030,EVP,ST,OCGT,67.1
Fuel Price,2030,EVP,DG,Lignite,52.2
Fuel Price,2030,EVP,DG,Hard Coal,61.5
Fuel Price,2030,EVP,DG,CCGT,43.3
Fuel Price,2030,EVP,DG,OCGT,67.1
CO2 Price,2020,EUCO,EUCO,Lignite,23.8
CO2 Price,2020,EUCO,EUCO,Hard Coal,38.6
CO2 Price,2020,EUCO,EUCO,CCGT,31.5
CO2 Price,2020,EUCO,EUCO,OCGT,48.6
CO2 Price,2020,EUCO,ST,Lignite,23.8
CO2 Price,2020,EUCO,ST,Hard Coal,38.6
CO2 Price,2020,EUCO,ST,CCGT,33.0
CO2 Price,2020,EUCO,ST,OCGT,51.0
CO2 Price,2020,EUCO,DG,Lignite,23.8
CO2 Price,2020,EUCO,DG,Hard Coal,38.6
CO2 Price,2020,EUCO,DG,CCGT,31.7
CO2 Price,2020,EUCO,DG,OCGT,48.9
CO2 Price,2020,ST,EUCO,Lignite,23.8
CO2 Price,2020,ST,EUCO,Hard Coal,38.6
CO2 Price,2020,ST,EUCO,CCGT,30.9
CO2 Price,2020,ST,EUCO,OCGT,47.7
CO2 Price,2020,ST,ST,Lignite,23.8
CO2 Price,2020,ST,ST,Hard Coal,38.6
CO2 Price,2020,ST,ST,CCGT,33.1
CO2 Price,2020,ST,ST,OCGT,51.1
CO2 Price,2020,ST,DG,Lignite,23.8
CO2 Price,2020,ST,DG,Hard Coal,38.6
CO2 Price,2020,ST,DG,CCGT,31.6
CO2 Price,2020,ST,DG,OCGT,48.7
CO2 Price,2020,DG,EUCO,Lignite,23.8
CO2 Price,2020,DG,EUCO,Hard Coal,38.6
CO2 Price,2020,DG,EUCO,CCGT,30.2
CO2 Price,2020,DG,EUCO,OCGT,46.5
CO2 Price,2020,DG,ST,Lignite,23.8
CO2 Price,2020,DG,ST,Hard Coal,38.6
CO2 Price,2020,DG,ST,CCGT,32.7
CO2 Price,2020,DG,ST,OCGT,50.4
CO2 Price,2020,DG,DG,Lignite,23.8
CO2 Price,2020,DG,DG,Hard Coal,38.6
CO2 Price,2020,DG,DG,CCGT,30.9
CO2 Price,2020,DG,DG,OCGT,47.7
CO2 Price,2020,EVP,EUCO,Lignite,23.8
CO2 Price,2020,EVP,EUCO,Hard Coal,38.6
CO2 Price,2020,EVP,EUCO,CCGT,30.8
CO2 Price,2020,EVP,EUCO,OCGT,47.5
CO2 Price,2020,EVP,ST,Lignite,23.8
CO2 Price,2020,EVP,ST,Hard Coal,38.6
CO2 Price,2020,EVP,ST,CCGT,33.1
CO2 Price,2020,EVP,ST,OCGT,51.1
CO2 Price,2020,EVP,DG,Lignite,23.8
CO2 Price,2020,EVP,DG,Hard Coal,38.6
CO2 Price,2020,EVP,DG,CCGT,31.5
CO2 Price,2020,EVP,DG,OCGT,48.6
CO2 Price,2025,EUCO,EUCO,Lignite,32.1
CO2 Price,2025,EUCO,EUCO,Hard Coal,46.2
CO2 Price,2025,EUCO,EUCO,CCGT,32.4
CO2 Price,2025,EUCO,EUCO,OCGT,50.2
CO2 Price,2025,EUCO,ST,Lignite,55.4
CO2 Price,2025,EUCO,ST,Hard Coal,67.8
CO2 Price,2025,EUCO,ST,CCGT,44.1
CO2 Price,2025,EUCO,ST,OCGT,68.3
CO2 Price,2025,EUCO,DG,Lignite,41.4
CO2 Price,2025,EUCO,DG,Hard Coal,54.8
CO2 Price,2025,EUCO,DG,CCGT,36.8
CO2 Price,2025,EUCO,DG,OCGT,57.0
CO2 Price,2025,ST,EUCO,Lignite,27.2
CO2 Price,2025,ST,EUCO,Hard Coal,39.9
